,e0b9d79758b - initial,,,,,,408a28e7676 - sup json,,,,,,01b8046c58e - WithName WithValues,,,,,,32596ed3ef9 - only v>3,,,,,,f7ac1e31be7 - no WithName,,,,,
,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit
scheduler_framework_extension_point_duration_seconds,0.840730362,0.64600246,1.311764706,1.694117647,6.4,ms,0.744064041,0.62713797,1.030136986,1.578082192,5.92,ms,0.757047396,0.613903743,0.785026738,1.431578947,5.807407407,ms,0.775123006,0.595394737,1.504950495,2.705454545,5.828571429,ms,0.560186585,0.540401146,0.769627507,0.798280802,5.221052632,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,893,893,893,893,893,pods/s,847,847,847,847,847,pods/s,790,790,790,790,790,pods/s,791,791,791,791,791,pods/s,1000,1000,1000,1000,1000,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,2.833561938,2.393509128,4.271186441,7.661016949,15.77777778,ms,0.411595442,0.315650741,0.762264151,1.230769231,2.488888889,ms,2.701273264,1.994035785,4.058823529,7,20,ms,544.3089329,552.4378109,1115.897436,1197.948718,1263.589744,ms,0.307486276,0.247881356,0.607594937,0.977777778,1.57037037,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,507.4339902,508.8,1089.52381,1184.761905,1260.952381,ms,0.535851232,0.372711572,0.954216867,1.436144578,3.072,ms,530.9226138,525.8981233,1105.613079,1192.80654,1262.561308,ms,0.445827315,0.336806723,0.906024096,1.387951807,2.8,ms,0.387477962,0.319904077,0.680851064,1.075,1.575,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.388251781,0.310685805,0.733333333,1.2,2.666666667,ms,2.95350705,2.490118577,4.96,7.626666667,15.13513514,ms,0.538859302,0.343884892,0.8,1.397014925,4.072727273,ms,0.556183447,0.398412698,1.066666667,1.496774194,2.917647059,ms,2.221210036,1.628930818,3.764705882,6.25,12.57142857,ms
BenchmarkPerfScheduling/SchedulingSecrets/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.514385915,0.365016502,0.856338028,1.41971831,3.2,ms,524.566717,532.1585903,1095.56196,1187.78098,1261.556196,ms,0.498284023,0.339082058,0.785106383,1.3375,3.12,ms,3.130000895,2.749103943,6.01980198,8,15.44186047,ms,378.9920651,376.7837338,613.3826248,698.1818182,1163.636364,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,293.6666667,271,351,351,351,pods/s,478,400,556,556,556,pods/s,483.5,438,529,529,529,pods/s,333.3333333,360,446,446,446,pods/s,500,457,543,543,543,pods/s
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.135364247,0.720567376,2.456565657,3.545945946,10.47272727,ms,0.743998326,0.501801802,1.457142857,2.618181818,5.76,ms,0.947713582,0.65477707,1.536,2.854901961,9.6,ms,4.863707211,3.57480315,9.6,14.30588235,29.53846154,ms,3.164415592,2.807228916,4.301886792,8.242424242,25.14285714,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.600100719,0.995,2.937566138,4.647619048,12.8,ms,0.965262014,0.688372093,1.588625592,2.793650794,7.563636364,ms,0.84621671,0.633918129,1.420689655,2.470588235,5.12,ms,1153.464728,1203.858521,2283.542117,2421.771058,2532.354212,ms,697.8399574,646.3366337,1153.267327,1216.633663,1267.326733,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
